[2015-04-02 05:06:48] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42000]: Syntax error or access violation: 1327 Undeclared variable: OFFSET' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT * FROM `...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(283): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(706): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:02] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:02] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:03] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:03] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:03] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:03] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:03] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:03] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:04] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:04] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:04] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:04] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:04] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:04] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
[2015-04-02 05:22:05] SlimMonoLogger.ERROR: exception 'ErrorException' with message 'PDOStatement::execute(): SQLSTATE[42S22]: Column not found: 1054 Champ 'dsfdf' inconnu dans field list' in C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php:340 Stack trace: #0 [internal function]: Slim\Slim::handleErrors(2, 'PDOStatement::e...', 'C:\\wamp\\www\\pro...', 340, Array) #1 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(340): PDOStatement->execute() #2 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(1672): ORM::_execute('SELECT `dsfdf`,...', Array, 'default') #3 C:\wamp\www\prototype\vendor\j4mie\idiorm\idiorm.php(556): ORM->_run() #4 C:\wamp\www\prototype\public\index.php(286): ORM->find_array() #5 [internal function]: {closure}() #6 C:\wamp\www\prototype\vendor\slim\slim\Slim\Route.php(468): call_user_func_array(Object(Closure), Array) #7 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1297): Slim\Route->dispatch() #8 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\Flash.php(85): Slim\Slim->call() #9 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\MethodOverride.php(92): Slim\Middleware\Flash->call() #10 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\ContentTypes.php(81): Slim\Middleware\MethodOverride->call() #11 C:\wamp\www\prototype\vendor\slim\slim\Slim\Middleware\PrettyExceptions.php(67): Slim\Middleware\ContentTypes->call() #12 C:\wamp\www\prototype\vendor\slim\slim\Slim\Slim.php(1242): Slim\Middleware\PrettyExceptions->call() #13 C:\wamp\www\prototype\public\index.php(711): Slim\Slim->run() #14 {main} [] []
